﻿Store,FuelPrice,StoreSize,WeekAvgTemp,Unemployment,Sales,SalesPerSqFt
1.00,3.10,151315.00,47.00,7.43,22516.00,0.15
1.00,3.14,151315.00,42.00,7.43,22805.00,0.15
1.00,3.18,151315.00,51.00,7.43,22082.00,0.15
1.00,3.24,151315.00,55.00,7.43,19580.00,0.13
1.00,3.31,151315.00,54.00,7.43,21299.00,0.14
1.00,3.37,151315.00,58.00,7.43,19720.00,0.13
1.00,3.40,151315.00,62.00,7.43,20452.00,0.14
1.00,3.41,151315.00,60.00,7.43,19506.00,0.13
1.00,3.43,151315.00,63.00,7.24,22152.00,0.15
1.00,3.45,151315.00,66.00,7.24,21170.00,0.14
1.00,3.47,151315.00,68.00,7.24,20083.00,0.13
1.00,3.46,151315.00,66.00,7.24,19323.00,0.13
1.00,3.43,151315.00,70.00,7.54,20072.00,0.13
1.00,3.46,151315.00,69.00,7.54,22277.00,0.15
1.00,3.46,151315.00,73.00,7.54,20753.00,0.14
1.00,3.45,151315.00,75.00,7.54,19995.00,0.13
1.00,3.38,151315.00,79.00,7.54,20458.00,0.14
1.00,3.32,151315.00,80.00,7.54,22754.00,0.15
1.00,3.29,151315.00,81.00,7.54,21726.00,0.14
1.00,3.27,151315.00,83.00,7.54,21787.00,0.14
1.00,3.26,151315.00,84.00,7.54,20619.00,0.14
1.00,3.21,151315.00,82.00,7.55,20444.00,0.14
1.00,3.19,151315.00,82.00,7.55,21776.00,0.14
1.00,3.27,151315.00,83.00,7.55,20699.00,0.14
1.00,3.32,151315.00,83.00,7.55,19237.00,0.13
1.00,3.25,151315.00,85.00,7.55,19055.00,0.13
1.00,3.27,151315.00,88.00,7.55,22936.00,0.15
1.00,3.30,151315.00,88.00,7.55,21243.00,0.14
1.00,3.28,151315.00,85.00,7.55,21015.00,0.14
1.00,3.26,151315.00,85.00,7.55,20702.00,0.14
1.00,3.28,151315.00,84.00,7.55,21391.00,0.14
1.00,3.28,151315.00,77.00,7.55,20937.00,0.14
1.00,3.28,151315.00,77.00,7.55,19866.00,0.13
1.00,3.25,151315.00,78.00,7.55,19039.00,0.13
1.00,3.19,151315.00,73.00,7.46,19909.00,0.13
1.00,3.17,151315.00,65.00,7.43,20661.00,0.14
1.00,3.20,151315.00,69.00,7.43,19992.00,0.13
1.00,3.19,151315.00,68.00,7.43,18431.00,0.12
1.00,3.16,151315.00,64.00,7.43,19225.00,0.13
1.00,3.11,151315.00,58.00,7.43,21551.00,0.14
1.00,3.09,151315.00,57.00,7.43,20472.00,0.14
1.00,3.10,151315.00,57.00,7.43,20608.00,0.14
1.00,3.06,151315.00,59.00,7.43,27161.00,0.18
1.00,3.03,151315.00,54.00,7.43,21803.00,0.14
1.00,3.06,151315.00,46.00,7.43,23699.00,0.16
1.00,3.04,151315.00,52.00,7.43,26264.00,0.17
1.00,3.04,151315.00,48.00,7.43,33166.00,0.22
1.00,3.04,151315.00,46.00,7.85,19258.00,0.13
1.00,3.16,151315.00,49.00,7.21,20066.00,0.13
1.00,3.16,151315.00,44.00,7.21,19592.00,0.13
1.00,3.18,151315.00,51.00,7.21,18436.00,0.12
1.00,3.20,151315.00,52.00,7.21,18548.00,0.12
1.00,3.10,151315.00,47.00,7.43,22629.00,0.15
